0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	C	0	0	0	0	0
0	0	C	0	0	0	0	0
0	0	F	C	0	0	0	0
0	0	F	C	0	0	0	0
0	0	C	3	C	0	0	0
0	0	C	3	C	0	0	0
0	0	C	0	3	C	0	0
0	0	C	0	3	F	C	0
3	F	D	C	0	3	C	0
3	F	C	0	0	0	3	C
0	0	C	0	0	0	3	F
0	0	C	0	0	0	0	3
0	0	C	0	0	0	3	C
0	0	C	0	0	0	3	C
0	0	C	8	0	3	C	0
3	F	D	C	0	3	C	0
3	F	C	8	3	C	0	0
0	0	C	0	3	C	0	0
0	0	C	3	C	0	0	0
0	0	C	3	C	0	0	0
0	0	F	C	0	0	0	0
0	0	F	C	0	0	0	0
0	0	C	0	0	0	0	0
0	0	C	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
