0	0	7	F	F	8	0	0
0	0	7	F	F	E	0	0
0	1	8	0	0	6	0	0
0	1	8	0	0	1	8	0
0	6	0	0	0	1	8	0
0	6	0	3	C	0	6	0
0	6	0	3	C	0	6	0
0	6	0	C	3	0	6	0
0	6	0	C	3	0	6	0
0	6	0	C	3	0	6	0
0	6	0	C	3	0	6	0
0	6	0	3	C	0	6	0
0	6	0	3	C	0	6	0
0	6	0	0	0		6	0
0	1	8	0	0	1	F	8
0	1	8	0	0	1	F	8
0	6	7	F	F	F	8	6
0	6	7	F	F	F	8	6
0	6	6	0	0	6	0	6
0	6	6	0	0	6	0	6
1	8	6	0	0	0	0	6
1	8	6	0	0	0	0	6
1	8	1	F	F	F	F	8
1	8	1	F	F	F	F	8
1	8	1	8	0	1	8	0
1	8	1	8	0	1	8	0
1	8	1	F	E	0	6	0
0	7	9	F	E	0	6	0
0	7	8	0	6	1	E	0
0	1	F	8	6	0	6	0
0	1	F	8	1	F	8	0
0	0	0	0	1	F	8	0
