0	0	0	3	0	0	0	0
0	0	0	F	C	0	0	0
0	0	0	C	C	0	0	0
0	0	F	C	F	C	0	0
0	0	F	C	F	C	0	0
0	3	0	3	0	3	0	0
0	F	0	3	0	3	C	0
0	C	0	0	0	0	C	0
0	C	0	0	0	0	C	0
0	C	3	0	3	0	C	0
0	C	3	0	3	0	C	0
0	C	3	0	3	0	C	0
0	C	3	0	3	0	C	0
0	C	3	0	3	0	C	0
0	C	0	0	0	0	C	0
0	C	0	0	0	0	C	0
0	3	0	0	0	3	0	0
0	3	0	0	0	3	0	0
0	C	F	F	F	C	C	0
0	C	F	F	F	C	C	0
0	C	C	0	0	C	C	0
3	0	C	0	0	C	3	0
3	0	C	0	0	C	3	0
3	0	F	0	3	C	3	0
3	0	F	0	3	C	3	0
3	0	C	0	0	C	3	0
3	0	0	F	C	0	3	0
0	F	0	F	C	3	C	0
0	F	0	C	C	3	C	0
0	C	0	C	C	0.	C	0
0	F	F	0	3	F	C	0
0	F	F	0	3	F	C	0

